epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9453,3.5221,3.7051,0.73142,4.31199,3.24222,0.00025,0.03125,2e-05,1e-05,0.00485,0.65625,0.02434,0.00304,4.09165,4.84802,0.75312,5.33899,3.6731,6.668e-05,6.668e-05,6.668e-05
2,27.4798,3.45034,3.65652,0.72954,4.20574,3.12832,0.00294,0.34375,0.00307,0.00049,0.04648,0.21875,0.07226,0.00768,3.97267,4.79817,0.73064,5.15645,3.3973,0.00014887,0.00014887,0.00014887
3,32.5812,2.53857,3.57528,0.72433,3.07523,2.25706,0.74002,0.46875,0.59463,0.27452,0.25936,0.28125,0.25435,0.03575,2.19235,4.65739,0.71952,5.79875,2.24876,0.00022977,0.00022977,0.00022977
4,36.8067,2.10312,3.42707,0.68492,2.46222,1.95043,0.64816,0.90509,0.92599,0.35723,0.49345,0.48928,0.50252,0.07789,2.19959,4.32809,0.68547,4.23234,2.67895,0.000309381,0.000309381,0.000309381
5,41.0798,2.01924,3.08584,0.72587,2.21711,1.804,0.40338,0.75349,0.56926,0.20623,0.21897,0.40625,0.30792,0.07525,2.31744,4.80713,0.75228,3.39043,2.61824,0.000387703,0.000387703,0.000387703
6,45.8861,1.95221,2.63017,0.71151,2.13391,1.7264,0.52748,0.57184,0.55511,0.24928,0.47028,0.44284,0.42431,0.11999,2.22312,4.10615,0.64243,5.32842,1.99713,0.000464735,0.000464735,0.000464735
7,53.211,1.85272,2.26206,0.65016,2.22921,1.68298,0.56567,0.71875,0.79074,0.35509,0.51957,0.54781,0.41734,0.10846,1.86003,4.38095,0.66866,5.02613,2.4674,0.000540478,0.000540478,0.000540478
8,61.1554,1.82327,2.39484,0.70626,1.87015,1.6754,0.18955,0.5,0.12336,0.03318,0.30772,0.4375,0.16849,0.07653,2.21312,3.81555,0.62477,15.9992,2.52316,0.000614932,0.000614932,0.000614932
9,68.2361,1.81432,1.85548,0.70548,1.85135,1.6753,1,0.34375,0.61521,0.24805,0.45525,0.74441,0.77383,0.28316,2.52019,3.20771,0.48778,8.19818,2.82866,0.000688096,0.000688096,0.000688096
10,72.2962,1.91321,2.20872,0.64074,1.89932,1.77,0.43556,0.6875,0.62872,0.17574,0.51597,0.72785,0.67745,0.23514,2.46892,3.38778,0.51956,8.89783,2.73337,0.000759971,0.000759971,0.000759971
11,76.0974,1.81343,1.80253,0.63861,1.73691,1.63238,0.03341,0.3125,0.02958,0.0059,0.06323,0.88341,0.08595,0.04944,2.98511,3.18944,0.52479,13.7796,3.13606,0.000830557,0.000830557,0.000830557
12,79.9056,1.836,1.87774,0.65831,1.7366,1.69245,0.28846,0.78125,0.43045,0.19081,0.32561,0.875,0.44388,0.29101,1.88472,2.44806,0.43005,3.02461,2.16874,0.000899853,0.000899853,0.000899853
